;total_pacotes;total_pacotes_icmp;total_pacotes_udp;total_pacotes_tcp;maior_pacote;menor_pacote;soma_pacotes;total_ips_origem;total_ips_destino;porta_origem_mais_frequente;porta_destino_mais_frequente;has_bot
0;1343;1;597;710;1514;60;1063048;108;117;43087.0;41915.0;0
1;1829;4;764;978;1514;60;1352117;145;182;43087.0;41915.0;0
2;1794;4;859;888;1514;60;1274290;183;182;43087.0;41915.0;0
3;1797;3;643;1110;1514;60;1244046;159;166;80.0;80.0;0
4;2047;5;889;1104;1514;60;1415830;176;186;43087.0;41915.0;0
5;2268;4;1006;1218;1514;60;1602164;157;172;43087.0;41915.0;0
6;2093;3;892;1135;1514;60;1508765;166;172;43087.0;41915.0;0
7;2040;6;894;1100;1514;60;1502487;161;176;43087.0;41915.0;0
8;2518;3;1178;1296;1514;60;1768609;179;190;43087.0;41915.0;0
9;1774;8;637;1114;1514;60;1199879;160;165;80.0;2774.0;0
10;1923;4;514;1357;1514;60;1262802;164;181;80.0;80.0;0
11;2243;6;731;1424;1514;60;1495890;186;196;80.0;41915.0;0
12;2034;4;653;1331;1514;60;1333762;166;168;80.0;41915.0;0
13;2082;5;799;1239;1514;60;1463413;166;187;43087.0;41915.0;0
14;1931;4;756;1136;1514;60;1319922;151;167;43087.0;41915.0;0
15;1739;8;539;1182;1514;60;1164359;153;164;80.0;80.0;0
16;2004;6;619;1315;1514;60;1352673;143;159;80.0;41915.0;0
17;2139;6;862;1219;1514;60;1597138;157;167;43087.0;41915.0;0
18;2119;3;917;1147;1514;60;1631910;153;164;43087.0;41915.0;0
19;2259;5;1044;1198;1514;60;1785475;143;157;43087.0;41915.0;0
20;2432;9;985;1348;1514;60;1822993;151;168;43087.0;41915.0;0
21;2172;6;914;1214;1514;60;1656972;135;145;43087.0;41915.0;0
22;2512;8;1034;1402;1514;60;1834999;156;156;43087.0;41915.0;0
23;2036;10;841;1130;1514;60;1566054;155;164;43087.0;41915.0;0
24;2439;10;1037;1331;1514;60;1892299;146;155;43087.0;41915.0;0
25;1846;11;569;1233;1514;60;1352752;143;156;80.0;80.0;0
26;2851;6;625;2145;1514;60;1906973;135;142;80.0;25.0;0
27;2043;1;737;1242;1514;60;1447709;156;168;80.0;80.0;0
28;2000;5;837;1139;1514;60;1387319;148;159;43087.0;41915.0;0
29;1969;4;803;1126;1514;60;1476308;149;160;43087.0;41915.0;0
30;2015;2;723;1248;1514;60;1327827;173;182;80.0;41915.0;0
31;2047;5;465;1520;1514;60;1369826;140;154;80.0;80.0;0
32;2684;4;656;1956;1514;60;2153537;160;157;80.0;62308.0;0
33;4771;5;685;4034;1514;60;4251651;163;165;80.0;62308.0;0
34;5015;4;822;4133;1514;60;4404027;164;169;80.0;62308.0;0
35;4278;6;836;3320;1514;60;3671283;148;164;80.0;80.0;0
36;3325;1;873;2345;1514;60;2590346;172;189;80.0;80.0;0
37;2683;1;893;1710;1514;60;2040211;168;173;80.0;80.0;0
38;2925;4;502;2356;1514;60;2036293;179;178;80.0;80.0;0
39;2291;3;760;1483;1514;60;1733206;149;163;80.0;80.0;0
40;2346;5;890;1410;1514;60;1810150;128;136;80.0;41915.0;0
41;2111;7;919;1079;1514;60;1481722;135;153;43087.0;41915.0;0
42;2182;1;866;1232;1514;60;1607747;147;140;80.0;41915.0;0
43;3622;5;1027;2558;1514;60;2942624;149;160;1632.0;61050.0;0
44;1825;4;471;1305;1514;60;1229025;150;156;80.0;80.0;0
45;2043;4;725;1261;1514;60;1414180;162;174;80.0;80.0;0
46;2585;6;862;1621;1514;60;1879918;161;165;80.0;80.0;0
47;2906;7;983;1827;1514;60;2178031;172;177;80.0;80.0;0
48;2725;9;1020;1511;1514;60;2047889;152;165;80.0;41915.0;0
49;1961;4;840;1039;1514;60;1464314;145;156;43087.0;41915.0;0
50;1991;12;615;1323;1514;60;1399119;169;167;80.0;80.0;0
51;2364;7;1065;1236;1514;60;1718190;173;185;43087.0;41915.0;0
52;2286;8;1040;1164;1514;60;1710134;167;175;43087.0;41915.0;0
53;2792;10;1201;1479;1514;60;2189636;160;169;43087.0;41915.0;0
54;2527;2;952;1490;1514;60;1734052;180;196;43087.0;41915.0;0
55;1856;6;516;1296;1514;60;1352706;163;166;80.0;80.0;0
56;2079;2;795;1220;1514;60;1545865;174;189;80.0;41915.0;0
57;1687;5;367;1274;1514;60;1225638;149;158;80.0;80.0;0
58;1467;9;232;1157;1514;60;827755;157;174;80.0;80.0;0
59;2438;9;217;2135;1514;60;1797600;177;181;80.0;25.0;0
60;1919;9;189;1678;1514;60;1204535;165;171;80.0;47857.0;0
61;1602;2;185;1371;1514;60;977508;145;154;80.0;80.0;0
62;3261;3;193;3020;1514;60;1344546;157;174;993.0;47857.0;0
63;4687;4;171;4195;1514;60;1505012;155;159;993.0;47857.0;0
64;4063;3;149;3860;1514;60;1268577;122;115;993.0;47857.0;0
65;2833;2;169;2641;1514;60;1153678;153;161;993.0;47857.0;0
66;1370;6;211;1098;1514;60;767733;178;183;80.0;80.0;0
67;1352;3;224;1081;1514;60;816287;190;185;80.0;80.0;0
68;1365;3;156;1144;1514;60;818758;145;150;80.0;80.0;0
69;1522;1;159;1335;1514;60;1120408;126;129;80.0;80.0;0
70;1817;4;171;1594;1514;60;1231020;136;143;80.0;80.0;0
71;2158;4;190;1901;1514;60;1077210;159;171;80.0;80.0;0
72;1826;5;175;1623;1514;60;998993;156;164;80.0;47857.0;0
73;4824;7;170;4576;1514;60;1368243;157;150;993.0;47857.0;0
74;1316;4;152;1099;1514;60;858902;127;127;80.0;80.0;0
75;2273;3;185;2009;1514;60;1662333;156;156;80.0;80.0;0
76;1508;2;180;1198;1514;60;945845;144;149;80.0;80.0;0
77;1938;1;189;1735;1514;60;1072015;128;130;80.0;47857.0;0
78;2459;5;173;2249;1514;60;1338912;142;144;80.0;47857.0;0
79;1848;3;178;1603;1514;60;1209832;158;160;80.0;80.0;0
80;1477;1;186;1235;1514;60;834824;167;172;80.0;80.0;0
81;1964;2;184;1752;1514;60;1384351;159;161;80.0;80.0;0
82;2872;2;169;2646;1514;60;1363602;146;151;993.0;47857.0;0
83;2066;2;144;1888;1514;60;1417553;135;138;80.0;80.0;0
84;1453;3;185;1166;1514;60;848195;161;166;80.0;80.0;0
85;1573;3;161;1387;1514;60;903903;134;131;80.0;80.0;0
86;1614;1;160;1383;1514;60;1073456;145;152;80.0;80.0;0
87;1642;2;170;1452;1514;60;1070946;140;140;80.0;80.0;0
88;1450;2;164;1227;1514;60;1083698;123;125;80.0;80.0;0
89;1444;2;149;1242;1514;60;1014925;124;125;80.0;80.0;0
90;1843;8;181;1608;1514;60;1272700;167;168;80.0;80.0;0
91;1741;3;275;1427;1514;60;1105763;185;210;80.0;80.0;0
92;1852;9;184;1645;1514;60;1338430;145;143;80.0;80.0;0
93;2025;3;176;1810;1514;60;1465415;130;145;80.0;80.0;0
94;1852;1;180;1594;1514;60;1356068;144;142;80.0;80.0;0
95;1539;3;171;1320;1514;60;792527;142;142;80.0;80.0;0
96;1673;9;178;1451;1514;60;1170713;153;153;80.0;80.0;0
97;1885;5;181;1625;1514;60;1100922;145;158;80.0;80.0;0
98;2655;1;166;2434;1514;60;1493864;149;154;80.0;1662.0;0
99;2796;2;173;2527;1514;60;1676800;151;151;80.0;80.0;0
100;1780;1;144;1549;1514;60;1140769;147;150;80.0;80.0;0
101;2181;3;217;1924;1514;60;1210061;156;159;80.0;47857.0;0
102;2172;1;187;1955;1514;60;1156042;135;139;80.0;47857.0;0
103;1629;5;155;1440;1514;60;1047883;144;145;80.0;80.0;0
104;1956;8;180;1735;1514;60;1418101;127;133;80.0;80.0;0
105;2146;5;199;1863;1514;60;1161048;166;171;80.0;47857.0;0
106;2049;0;179;1805;1514;60;1504473;169;171;80.0;80.0;0
107;2723;6;157;2513;1514;60;2131538;139;145;80.0;80.0;0
108;2096;7;164;1904;1514;60;1523077;142;145;80.0;80.0;0
109;2015;9;173;1750;1514;60;1480518;143;147;80.0;80.0;0
110;1987;13;185;1720;1514;60;1420122;166;172;80.0;80.0;0
111;1749;6;177;1510;1514;60;1263635;147;157;80.0;80.0;0
112;2080;6;186;1846;1514;60;1536378;160;163;80.0;80.0;0
113;1997;8;154;1810;1514;60;1516787;145;155;80.0;80.0;0
114;2230;3;190;1972;1514;60;1581743;166;172;80.0;80.0;0
115;2598;3;151;2335;1514;60;1730160;162;167;80.0;80.0;0
116;2537;5;181;2261;1514;60;1782803;183;191;80.0;80.0;0
117;2182;3;167;1905;1514;60;1484045;159;166;80.0;80.0;0
118;2200;5;195;1961;1514;60;1647354;167;172;80.0;80.0;0
119;2036;6;149;1829;1514;60;1442116;147;153;80.0;80.0;0
120;2319;9;190;2049;1514;60;1672237;182;191;80.0;80.0;0
121;2077;10;176;1817;1514;60;1395647;169;175;80.0;80.0;0
122;3505;9;185;3236;1514;60;2525153;186;195;80.0;80.0;0
123;2527;5;162;2275;1514;60;1752640;161;168;80.0;80.0;0
124;2423;14;148;2075;1514;60;1645406;145;146;80.0;80.0;0
125;2499;4;157;2218;1514;60;1814875;145;154;80.0;80.0;0
126;2715;4;156;2467;1514;60;1812954;180;188;80.0;80.0;0
127;2144;4;154;1907;1514;60;1380571;165;166;80.0;80.0;0
128;1774;7;161;1563;1514;60;1152359;153;162;80.0;80.0;0
129;1709;3;177;1477;1514;60;1233076;140;146;80.0;80.0;0
130;1925;4;202;1608;1514;60;1150739;175;184;80.0;80.0;0
131;2317;5;195;2050;1514;60;1564372;150;157;80.0;80.0;0
132;3696;5;192;3409;1514;60;2627202;165;169;80.0;80.0;0
133;2909;3;197;2615;1514;60;2007847;170;179;80.0;80.0;0
134;1732;4;189;1457;1514;60;1093887;152;158;80.0;80.0;0
135;1735;4;195;1441;1514;60;1107466;155;158;80.0;80.0;0
136;1895;2;207;1634;1514;60;1252135;182;192;80.0;80.0;0
137;1995;5;215;1725;1514;60;1338604;158;158;80.0;80.0;0
138;1914;2;161;1706;1514;60;1284567;149;160;80.0;80.0;0
139;2995;1;192;2697;1514;60;1972783;159;163;80.0;80.0;0
140;6704;5;174;6393;1514;60;5634300;170;168;80.0;4877.0;0
141;4882;3;169;4652;1514;60;4327296;140;145;80.0;80.0;0
142;4160;5;171;3818;1514;60;3514529;151;154;80.0;50849.0;0
143;3890;4;214;3585;1514;60;3511535;157;177;80.0;50849.0;0
144;2980;16;317;2520;1514;60;2482731;212;215;80.0;50849.0;0
145;1493;6;226;1210;1514;60;825035;151;167;80.0;80.0;0
146;2775;15;250;2466;1514;60;1970225;182;191;80.0;80.0;0
147;2178;6;302;1816;1514;60;1519150;174;176;80.0;80.0;0
148;2072;6;201;1829;1514;60;1492929;145;153;80.0;80.0;0
149;1994;10;180;1734;1514;60;1416699;159;162;80.0;80.0;0
150;2130;11;186;1864;1514;60;1516506;161;169;80.0;80.0;0
151;1909;4;231;1625;1514;60;1342721;154;160;80.0;80.0;0
152;1884;1;182;1660;1514;60;1297913;141;154;80.0;80.0;0
153;2260;4;195;1904;1514;60;1477517;156;162;80.0;80.0;0
