;total_pacotes;total_pacotes_icmp;total_pacotes_udp;total_pacotes_tcp;maior_pacote;menor_pacote;soma_pacotes;total_ips_origem;total_ips_destino;porta_origem_mais_frequente;porta_destino_mais_frequente;has_bot
0;4;0;0;0;94;64;346;2;2;0.0;0.0;0
1;0;0;0;0;0;0;0;0;0;0.0;0.0;0
2;31;0;0;18;342;60;2832;8;8;0.0;0.0;0
3;6;4;0;0;130;60;456;3;4;0.0;0.0;1
4;28;0;0;12;223;60;2938;6;8;0.0;0.0;0
5;3;0;0;0;342;203;756;2;2;0.0;0.0;0
6;2;0;0;0;211;64;275;2;2;0.0;0.0;0
7;1;0;0;0;203;203;203;1;1;0.0;0.0;0
8;2;0;0;0;211;64;275;2;2;0.0;0.0;0
9;0;0;0;0;0;0;0;0;0;0.0;0.0;0
10;23;0;0;12;342;64;2310;4;6;0.0;0.0;0
11;31;0;0;27;203;60;2349;5;6;0.0;0.0;0
12;14;0;0;8;94;60;1028;5;5;0.0;0.0;0
13;0;0;0;0;0;0;0;0;0;0.0;0.0;0
14;1;0;0;0;64;64;64;1;1;0.0;0.0;0
15;10;4;0;6;72;60;648;2;2;0.0;0.0;1
16;1;0;0;0;64;64;64;1;1;0.0;0.0;0
17;8;0;0;2;66;60;492;3;3;0.0;0.0;0
18;7;0;0;4;112;64;614;2;2;0.0;0.0;0
19;23;0;0;17;203;60;2001;3;4;0.0;0.0;0
20;22;0;0;14;94;60;1510;7;7;0.0;0.0;0
21;9;4;0;0;342;72;1006;4;4;0.0;0.0;1
22;2;0;0;0;64;60;124;2;2;0.0;0.0;0
23;0;0;0;0;0;0;0;0;0;0.0;0.0;0
24;7;0;0;6;64;60;424;3;3;0.0;0.0;1
25;8;8;0;0;72;72;576;2;2;0.0;0.0;1
26;3;0;0;2;64;62;188;2;2;0.0;0.0;0
27;1;0;0;0;462;462;462;1;1;0.0;0.0;0
28;5;4;0;0;72;64;352;3;3;0.0;0.0;1
29;3;0;0;0;94;94;282;1;1;0.0;0.0;0
30;1;0;0;0;64;64;64;1;1;0.0;0.0;0
31;5;0;0;0;342;94;718;2;2;0.0;0.0;0
32;1;0;0;0;64;64;64;1;1;0.0;0.0;0
33;4;4;0;0;72;72;288;2;2;0.0;0.0;1
34;1;0;0;0;64;64;64;1;1;0.0;0.0;0
35;1;0;0;0;203;203;203;1;1;0.0;0.0;0
36;1;0;0;0;64;64;64;1;1;0.0;0.0;0
37;0;0;0;0;0;0;0;0;0;0.0;0.0;0
38;4;0;0;0;94;64;346;2;2;0.0;0.0;0
39;14;0;0;14;60;60;840;1;5;0.0;0.0;0
40;7;0;0;4;89;60;532;3;3;0.0;0.0;0
41;4;0;0;0;94;94;376;1;1;0.0;0.0;0
42;2;0;0;0;64;60;124;2;2;0.0;0.0;0
43;4;0;0;0;60;60;240;2;2;0.0;0.0;0
44;1;0;0;0;64;64;64;1;1;0.0;0.0;0
45;0;0;0;0;0;0;0;0;0;0.0;0.0;0
46;1;0;0;0;64;64;64;1;1;0.0;0.0;0
47;2;0;0;0;110;110;220;1;1;0.0;0.0;0
48;4;0;0;0;94;64;346;2;2;0.0;0.0;0
49;0;0;0;0;0;0;0;0;0;0.0;0.0;0
50;6;0;0;0;462;64;902;3;3;0.0;0.0;0
51;0;0;0;0;0;0;0;0;0;0.0;0.0;0
52;12;4;0;6;72;60;772;4;4;0.0;0.0;1
53;0;0;0;0;0;0;0;0;0;0.0;0.0;0
54;1;0;0;0;64;64;64;1;1;0.0;0.0;0
55;0;0;0;0;0;0;0;0;0;0.0;0.0;0
56;1;0;0;0;64;64;64;1;1;0.0;0.0;0
57;7;0;0;0;94;60;522;3;3;0.0;0.0;0
58;5;4;0;0;72;64;352;3;3;0.0;0.0;1
59;0;0;0;0;0;0;0;0;0;0.0;0.0;0
60;5;0;0;0;94;64;440;2;2;0.0;0.0;0
61;0;0;0;0;0;0;0;0;0;0.0;0.0;0
62;11;8;0;2;72;64;772;4;4;0.0;0.0;1
63;0;0;0;0;0;0;0;0;0;0.0;0.0;0
64;1;0;0;0;64;64;64;1;1;0.0;0.0;0
65;8;4;0;4;72;60;528;2;2;0.0;0.0;1
66;3;0;0;2;66;64;196;2;2;0.0;0.0;0
67;3;0;0;0;94;94;282;1;1;0.0;0.0;0
68;1;0;0;0;64;64;64;1;1;0.0;0.0;0
69;24;0;0;16;1042;66;5088;3;3;0.0;0.0;1
70;25;4;0;15;914;64;4152;3;3;0.0;0.0;1
71;8;0;0;5;150;66;968;2;2;0.0;0.0;1
72;4;0;0;2;64;60;248;3;3;0.0;0.0;0
73;2;0;0;1;134;134;268;1;1;0.0;0.0;0
74;5;0;0;3;150;64;496;3;3;0.0;0.0;1
75;0;0;0;0;0;0;0;0;0;0.0;0.0;0
76;14;0;0;4;150;60;1286;6;6;0.0;0.0;1
77;4;0;0;3;150;78;456;2;2;0.0;0.0;1
78;3;0;0;1;134;64;332;2;2;0.0;0.0;0
79;16;0;0;10;134;66;1408;3;3;0.0;0.0;1
80;2;0;0;0;462;64;526;2;2;0.0;0.0;0
81;0;0;0;0;0;0;0;0;0;0.0;0.0;0
82;2;0;0;0;64;60;124;2;2;0.0;0.0;0
83;0;0;0;0;0;0;0;0;0;0.0;0.0;0
84;1;0;0;0;64;64;64;1;1;0.0;0.0;0
85;0;0;0;0;0;0;0;0;0;0.0;0.0;0
86;4;0;0;0;94;64;346;2;2;0.0;0.0;0
