;Unnamed: 0;frame_time;total_pacotes;total_pacotes_icmp;total_pacotes_udp;total_pacotes_tcp;maior_pacote;menor_pacote;soma_pacotes;total_ips_origem;total_ips_destino;porta_origem_mais_frequente;porta_destino_mais_frequente;has_bot;has_bot_origem_destino
0;0;"0    Sep  6, 2018 06:43:20.739949000 -03
Name: time, dtype: object";47707;8;0;47574;238;60;2872172;28;23690;0;0;0;0
1;1;"0    Sep  6, 2018 06:44:20.708723000 -03
Name: time, dtype: object";75612;12;0;75560;90;60;4537976;27;37770;0;0;0;0
2;2;"0    Sep  6, 2018 06:45:20.280264000 -03
Name: time, dtype: object";76304;20;0;76240;90;60;4579840;36;38095;0;0;0;0
3;3;"0    Sep  6, 2018 06:46:20.000233000 -03
Name: time, dtype: object";75926;16;0;75874;110;60;4556972;33;37916;0;0;0;0
4;4;"0    Sep  6, 2018 06:47:20.296901000 -03
Name: time, dtype: object";75620;18;0;75558;90;60;4538568;32;37764;0;0;0;0
5;5;"0    Sep  6, 2018 06:48:20.062143000 -03
Name: time, dtype: object";76606;12;0;76550;90;60;4597924;33;38236;0;0;0;0
6;6;"0    Sep  6, 2018 06:49:20.053280000 -03
Name: time, dtype: object";75934;16;0;75882;110;60;4557420;31;37923;0;0;0;0
7;7;"0    Sep  6, 2018 06:50:20.504181000 -03
Name: time, dtype: object";75620;16;0;75568;110;60;4538368;33;37763;0;0;0;0
8;8;"0    Sep  6, 2018 06:51:20.209758000 -03
Name: time, dtype: object";76305;26;0;76234;246;60;4580864;37;38080;0;0;0;0
9;9;"0    Sep  6, 2018 06:52:20.077018000 -03
Name: time, dtype: object";76256;6;0;76210;90;60;4576640;22;38081;0;0;0;0
10;10;"0    Sep  6, 2018 06:53:20.542947000 -03
Name: time, dtype: object";75604;12;0;75560;90;60;4537516;24;37761;0;0;0;0
11;11;"0    Sep  6, 2018 06:54:20.207829000 -03
Name: time, dtype: object";76282;14;0;76236;90;60;4578368;23;38085;0;0;0;0
12;12;"0    Sep  6, 2018 06:55:20.098842000 -03
Name: time, dtype: object";76242;14;0;76192;90;60;4575712;26;38085;0;0;0;0
13;13;"0    Sep  6, 2018 06:56:20.543310000 -03
Name: time, dtype: object";75602;6;0;75556;90;60;4537284;18;37762;0;0;0;0
14;14;"0    Sep  6, 2018 06:57:20.202229000 -03
Name: time, dtype: object";76250;22;0;76192;90;60;4576352;29;38082;0;0;0;0
15;15;"0    Sep  6, 2018 06:58:20.137004000 -03
Name: time, dtype: object";75940;28;0;75876;110;60;4557776;33;37925;0;0;0;0
16;16;"0    Sep  6, 2018 06:59:20.090021000 -03
Name: time, dtype: object";75932;24;0;75868;110;60;4557344;32;37921;0;0;0;0
17;17;"0    Sep  6, 2018 07:00:20.200217000 -03
Name: time, dtype: object";76268;32;0;76208;90;60;4577384;35;38083;0;0;0;0
18;18;"0    Sep  6, 2018 07:01:20.511301000 -03
Name: time, dtype: object";75618;28;0;75550;110;60;4538784;30;37762;0;0;0;0
19;19;"0    Sep  6, 2018 07:02:20.347145000 -03
Name: time, dtype: object";75642;28;0;75574;90;60;4540148;35;37763;0;0;0;0
20;20;"0    Sep  6, 2018 07:03:20.033080000 -03
Name: time, dtype: object";76922;18;0;76864;90;60;4616872;31;38408;0;0;0;0
21;21;"0    Sep  6, 2018 07:04:20.787665000 -03
Name: time, dtype: object";75658;16;0;75606;90;60;4541048;28;37766;0;0;0;0
22;22;"0    Sep  6, 2018 07:05:20.507344000 -03
Name: time, dtype: object";75640;24;0;75580;110;60;4540028;34;37767;0;0;0;0
23;23;"0    Sep  6, 2018 07:06:20.171790000 -03
Name: time, dtype: object";76300;26;0;76234;90;60;4579664;35;38082;0;0;0;0
24;24;"0    Sep  6, 2018 07:07:20.002907000 -03
Name: time, dtype: object";75960;16;0;75890;117;60;4560174;30;37923;0;0;0;0
25;25;"0    Sep  6, 2018 07:08:20.050912000 -03
Name: time, dtype: object";75948;18;0;75898;110;60;4558184;27;37923;0;0;0;0
26;26;"0    Sep  6, 2018 07:09:20.180615000 -03
Name: time, dtype: object";76228;10;0;76202;110;60;4574508;23;38076;0;0;0;0
27;27;"0    Sep  6, 2018 07:10:20.062958000 -03
Name: time, dtype: object";75934;12;0;75890;90;60;4556980;32;37924;0;0;0;0
28;28;"0    Sep  6, 2018 07:11:20.074216000 -03
Name: time, dtype: object";75916;14;0;75874;90;60;4555980;20;37923;0;0;0;0
29;29;"0    Sep  6, 2018 07:12:20.189179000 -03
Name: time, dtype: object";75954;18;0;75908;90;60;4558600;28;37919;0;0;0;0
30;30;"0    Sep  6, 2018 07:13:20.127744000 -03
Name: time, dtype: object";75926;10;0;75888;90;60;4556600;26;37918;0;0;0;0
31;31;"0    Sep  6, 2018 07:14:20.300449000 -03
Name: time, dtype: object";75930;18;0;75884;110;60;4556740;28;37919;0;0;0;0
32;32;"0    Sep  6, 2018 07:15:20.199613000 -03
Name: time, dtype: object";75928;16;0;75880;90;60;4556836;28;37921;0;0;0;0
33;33;"0    Sep  6, 2018 07:16:20.078264000 -03
Name: time, dtype: object";76246;22;0;76208;110;60;4575688;26;38080;0;0;0;0
34;34;"0    Sep  6, 2018 07:17:20.291436000 -03
Name: time, dtype: object";75926;16;0;75874;110;60;4556772;26;37920;0;0;0;0
35;35;"0    Sep  6, 2018 07:18:20.196249000 -03
Name: time, dtype: object";75940;22;0;75886;110;60;4557388;31;37915;0;0;0;0
36;36;"0    Sep  6, 2018 07:19:20.076047000 -03
Name: time, dtype: object";76262;12;0;76214;110;60;4576952;30;38084;0;0;0;0
37;37;"0    Sep  6, 2018 07:20:20.261167000 -03
Name: time, dtype: object";75930;14;0;75888;110;60;4556812;26;37922;0;0;0;0
38;38;"0    Sep  6, 2018 07:21:20.197903000 -03
Name: time, dtype: object";75692;22;0;75634;90;60;4543184;32;37763;0;0;0;0
39;39;"0    Sep  6, 2018 07:22:20.083410000 -03
Name: time, dtype: object";75940;20;0;75888;90;60;4557552;31;37923;0;0;0;0
40;40;"0    Sep  6, 2018 07:23:20.039858000 -03
Name: time, dtype: object";76228;18;0;76182;90;60;4574700;24;38078;0;0;0;0
41;41;"0    Sep  6, 2018 07:24:20.012035000 -03
Name: time, dtype: object";75938;18;0;75888;90;60;4557368;29;37922;0;0;0;0
42;42;"0    Sep  6, 2018 07:25:20.116133000 -03
Name: time, dtype: object";75898;16;0;75866;90;60;4554588;17;37919;0;0;0;0
43;43;"0    Sep  6, 2018 07:26:20.291163000 -03
Name: time, dtype: object";76113;18;0;76063;90;60;4568120;32;38008;0;0;0;0
