;time;IPO_entropy;IPO_complexity;IPO_fisher_shanon;IPO_edge_entropy;IPO_edge_complexity;IPO_edge_fisher_shannon;IPO_number_nodes;IPO_self_transition;IPD_entropy;IPD_complexity;IPD_fisher_shanon;IPD_edge_entropy;IPD_edge_complexity;IPD_edge_fisher_shannon;IPD_number_nodes;IPD_self_transition;TP_entropy;TP_complexity;TP_fisher_shanon;TP_edge_entropy;TP_edge_complexity;TP_edge_fisher_shannon;TP_number_nodes;TP_self_transition;TP_ICMP_entropy;TP_ICMP_complexity;TP_ICMP_fisher_shanon;TP_ICMP_edge_entropy;TP_ICMP_edge_complexity;TP_ICMP_edge_fisher_shannon;TP_ICMP_number_nodes;TP_ICMP_self_transition;TP_TCP_entropy;TP_TCP_complexity;TP_TCP_fisher_shanon;TP_TCP_edge_entropy;TP_TCP_edge_complexity;TP_TCP_edge_fisher_shannon;TP_TCP_number_nodes;TP_TCP_self_transition
0;[0, 1];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;[0, 2];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;[0, 3];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;[0, 4];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;[0, 5];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;[0, 6];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;[0, 7];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;[0, 8];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;[0, 9];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;[0, 10];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;[0, 11];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;[0, 12];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;[0, 13];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;[0, 14];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;[0, 15];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;[0, 16];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;[0, 17];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;[0, 18];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;[0, 19];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;[0, 20];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;[0, 21];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
